gene,scaffold
contig_41238_8,contig_41238
contig_41238_10,contig_41238
contig_41238_11,contig_41238
contig_41238_12,contig_41238
contig_41238_14,contig_41238
contig_41238_16,contig_41238
contig_41238_17,contig_41238
contig_41238_20,contig_41238
contig_41238_22,contig_41238
contig_4012_8,contig_4012
contig_45139_12,contig_45139
contig_45139_24,contig_45139
contig_9988_21,contig_9988
contig_9988_27,contig_9988
contig_9988_37,contig_9988
contig_19871_12,contig_19871
contig_19871_14,contig_19871
contig_19871_16,contig_19871
contig_19871_18,contig_19871
contig_19871_19,contig_19871
contig_40027_14,contig_40027
contig_40027_16,contig_40027
contig_35487_28,contig_35487
contig_35487_41,contig_35487
contig_35487_44,contig_35487
contig_34218_3,contig_34218
contig_34218_5,contig_34218
contig_54288_31,contig_54288
contig_54288_35,contig_54288
contig_54288_36,contig_54288
contig_40753_1,contig_40753
contig_40753_5,contig_40753
contig_40753_6,contig_40753
contig_40753_8,contig_40753
contig_40753_10,contig_40753
contig_40753_12,contig_40753
contig_40753_15,contig_40753
contig_40753_16,contig_40753
contig_40753_18,contig_40753
contig_40753_19,contig_40753
contig_40753_20,contig_40753
contig_40753_21,contig_40753
contig_40753_22,contig_40753
contig_40753_25,contig_40753
contig_40753_27,contig_40753
contig_40753_28,contig_40753
contig_40753_32,contig_40753
contig_40753_39,contig_40753
contig_40753_51,contig_40753
contig_40753_54,contig_40753
contig_40753_60,contig_40753
contig_40753_61,contig_40753
contig_40753_71,contig_40753
contig_40753_74,contig_40753
contig_40753_75,contig_40753
contig_40753_82,contig_40753
contig_40753_85,contig_40753
contig_45263_18,contig_45263
contig_18895_57,contig_18895
contig_18895_62,contig_18895
contig_18895_79,contig_18895
contig_18895_90,contig_18895
contig_8583_26,contig_8583
contig_19411_1,contig_19411
contig_19411_8,contig_19411
contig_19411_9,contig_19411
contig_59697_15,contig_59697
contig_59697_30,contig_59697
contig_59697_51,contig_59697
contig_59697_58,contig_59697
contig_47854_16,contig_47854
contig_47854_38,contig_47854
contig_35078_2,contig_35078
contig_35078_7,contig_35078
contig_35078_9,contig_35078
contig_58343_3,contig_58343
contig_60116_33,contig_60116
contig_60116_34,contig_60116
contig_60116_42,contig_60116
contig_60116_95,contig_60116
contig_55657_43,contig_55657
contig_55657_48,contig_55657
contig_55657_52,contig_55657
contig_22075_31,contig_22075
contig_22075_33,contig_22075
contig_40119_3,contig_40119
contig_40119_4,contig_40119
contig_40119_13,contig_40119
contig_40119_14,contig_40119
contig_55566_10,contig_55566
contig_40807_13,contig_40807
contig_39607_31,contig_39607
contig_45871_5,contig_45871
contig_45871_6,contig_45871
contig_35667_14,contig_35667
contig_35667_15,contig_35667
contig_35667_17,contig_35667
contig_35667_21,contig_35667
contig_35667_22,contig_35667
contig_35667_32,contig_35667
contig_35667_38,contig_35667
contig_35667_39,contig_35667
contig_35667_42,contig_35667
contig_35667_45,contig_35667
contig_35667_46,contig_35667
contig_35667_51,contig_35667
contig_35667_52,contig_35667
contig_35667_54,contig_35667
contig_35667_55,contig_35667
contig_57293_25,contig_57293
contig_57293_26,contig_57293
contig_57293_29,contig_57293
contig_57293_45,contig_57293
contig_57293_55,contig_57293
contig_57293_58,contig_57293
contig_57293_64,contig_57293
contig_41210_15,contig_41210
contig_41210_17,contig_41210
contig_41210_21,contig_41210
contig_41210_22,contig_41210
contig_48909_20,contig_48909
contig_43675_1,contig_43675
contig_35557_41,contig_35557
contig_57715_4,contig_57715
contig_57715_7,contig_57715
contig_57715_10,contig_57715
contig_57715_11,contig_57715
contig_57715_12,contig_57715
contig_57715_14,contig_57715
contig_57715_15,contig_57715
contig_57715_16,contig_57715
contig_57715_17,contig_57715
contig_56609_40,contig_56609
contig_56609_43,contig_56609
contig_56609_46,contig_56609
contig_56609_47,contig_56609
contig_56609_51,contig_56609
contig_4865_13,contig_4865
contig_4865_23,contig_4865
contig_4865_27,contig_4865
contig_4865_28,contig_4865
contig_4865_29,contig_4865
contig_4865_30,contig_4865
contig_4865_33,contig_4865
contig_4865_36,contig_4865
contig_4865_37,contig_4865
contig_4865_38,contig_4865
contig_4865_39,contig_4865
contig_59366_2,contig_59366
contig_39968_18,contig_39968
contig_39968_19,contig_39968
contig_39968_21,contig_39968
contig_39968_24,contig_39968
contig_39968_27,contig_39968
contig_39968_31,contig_39968
contig_55578_35,contig_55578
contig_55578_36,contig_55578
contig_55578_37,contig_55578
contig_55578_38,contig_55578
contig_55578_42,contig_55578
contig_55578_45,contig_55578
contig_55578_62,contig_55578
contig_55578_63,contig_55578
contig_55578_64,contig_55578
contig_55578_65,contig_55578
contig_55578_72,contig_55578
contig_55578_74,contig_55578
contig_55578_75,contig_55578
contig_55578_77,contig_55578
contig_55578_79,contig_55578
contig_55578_80,contig_55578
contig_55578_86,contig_55578
contig_55578_88,contig_55578
contig_55578_90,contig_55578
contig_5392_25,contig_5392
contig_5392_27,contig_5392
contig_5392_29,contig_5392
contig_5392_35,contig_5392
contig_5392_39,contig_5392
contig_5392_40,contig_5392
contig_48073_2,contig_48073
contig_48073_3,contig_48073
contig_48073_6,contig_48073
contig_48073_7,contig_48073
contig_48073_8,contig_48073
contig_48073_9,contig_48073
contig_48073_11,contig_48073
contig_48073_12,contig_48073
contig_48073_13,contig_48073
contig_48073_15,contig_48073
contig_48073_16,contig_48073
contig_48073_17,contig_48073
contig_48073_20,contig_48073
contig_48073_21,contig_48073
contig_48073_23,contig_48073
contig_48073_24,contig_48073
contig_48073_25,contig_48073
contig_48073_26,contig_48073
contig_33949_2,contig_33949
contig_33949_9,contig_33949
contig_33949_16,contig_33949
contig_44882_12,contig_44882
contig_48258_44,contig_48258
contig_48258_47,contig_48258
contig_48258_50,contig_48258
contig_48258_63,contig_48258
contig_59226_21,contig_59226
contig_59226_54,contig_59226
contig_5929_1,contig_5929
contig_5929_2,contig_5929
contig_5929_5,contig_5929
contig_14408_5,contig_14408
contig_2739_5,contig_2739
contig_60061_16,contig_60061
contig_48530_7,contig_48530
contig_57344_6,contig_57344
contig_57344_9,contig_57344
contig_26804_4,contig_26804
contig_47520_5,contig_47520
contig_1226_15,contig_1226
contig_12653_19,contig_12653
contig_29113_2,contig_29113
contig_29113_8,contig_29113
contig_29113_9,contig_29113
contig_29113_10,contig_29113
contig_47880_12,contig_47880
contig_53204_3,contig_53204
contig_25252_3,contig_25252
contig_52183_2,contig_52183
contig_52183_3,contig_52183
contig_52183_5,contig_52183
contig_52183_8,contig_52183
contig_52183_10,contig_52183
contig_52183_11,contig_52183
contig_15726_13,contig_15726
contig_44751_46,contig_44751
contig_44751_53,contig_44751
contig_44751_54,contig_44751
contig_30278_21,contig_30278
contig_30278_31,contig_30278
contig_20753_7,contig_20753
contig_40267_16,contig_40267
contig_40267_18,contig_40267
contig_40267_22,contig_40267
contig_40267_29,contig_40267
contig_40267_30,contig_40267
contig_40267_32,contig_40267
contig_29041_49,contig_29041
contig_29041_50,contig_29041
contig_29041_51,contig_29041
contig_54487_10,contig_54487
contig_54487_23,contig_54487
contig_54487_29,contig_54487
contig_54241_9,contig_54241
contig_38363_37,contig_38363
contig_722_14,contig_722
contig_28672_11,contig_28672
contig_28672_23,contig_28672
contig_28672_27,contig_28672
contig_29904_17,contig_29904
contig_29904_37,contig_29904
contig_29904_41,contig_29904
contig_51585_9,contig_51585
contig_51585_33,contig_51585
contig_28762_1,contig_28762
contig_28762_2,contig_28762
contig_28762_11,contig_28762
contig_55444_2,contig_55444
contig_45013_5,contig_45013
contig_45013_9,contig_45013
contig_45013_11,contig_45013
contig_45013_14,contig_45013
contig_45013_16,contig_45013
contig_45013_25,contig_45013
contig_45013_26,contig_45013
contig_45013_32,contig_45013
contig_21312_28,contig_21312
contig_21312_30,contig_21312
contig_21312_33,contig_21312
contig_21312_38,contig_21312
contig_21312_42,contig_21312
contig_21312_57,contig_21312
contig_8137_12,contig_8137
contig_42093_18,contig_42093
contig_41702_2,contig_41702
contig_41702_6,contig_41702
contig_41702_8,contig_41702
contig_50638_1,contig_50638
contig_50638_15,contig_50638
contig_50638_18,contig_50638
contig_50638_19,contig_50638
contig_32085_3,contig_32085
contig_32085_6,contig_32085
contig_32085_7,contig_32085
contig_37591_9,contig_37591
contig_37591_52,contig_37591
contig_37591_53,contig_37591
contig_37591_54,contig_37591
contig_41138_21,contig_41138
contig_37312_16,contig_37312
contig_52885_7,contig_52885
contig_41854_4,contig_41854
contig_47104_19,contig_47104
contig_47104_24,contig_47104
contig_47104_29,contig_47104
contig_47104_33,contig_47104
contig_11560_4,contig_11560
contig_11560_7,contig_11560
contig_14191_33,contig_14191
contig_37598_10,contig_37598
contig_47656_4,contig_47656
contig_47656_7,contig_47656
contig_21317_17,contig_21317
contig_38510_1,contig_38510
contig_38510_23,contig_38510
contig_37236_6,contig_37236
contig_37236_9,contig_37236
contig_42485_14,contig_42485
contig_35957_29,contig_35957
contig_59623_17,contig_59623
contig_59623_18,contig_59623
contig_59623_19,contig_59623
contig_59623_20,contig_59623
contig_59623_21,contig_59623
contig_59623_22,contig_59623
contig_59623_24,contig_59623
contig_14912_6,contig_14912
contig_14912_7,contig_14912
contig_14912_8,contig_14912
contig_14912_11,contig_14912
contig_14912_21,contig_14912
contig_39394_5,contig_39394
contig_39394_10,contig_39394
contig_58917_22,contig_58917
contig_58917_25,contig_58917
contig_58917_26,contig_58917
contig_58917_28,contig_58917
contig_58917_30,contig_58917
contig_48474_12,contig_48474
contig_48474_21,contig_48474
contig_46536_12,contig_46536
contig_46536_14,contig_46536
contig_49486_4,contig_49486
contig_49486_14,contig_49486
contig_48204_21,contig_48204
contig_48204_23,contig_48204
contig_1485_8,contig_1485
contig_1485_14,contig_1485
contig_1485_15,contig_1485
contig_48396_4,contig_48396
contig_48396_10,contig_48396
contig_48396_18,contig_48396
contig_39882_4,contig_39882
contig_52280_11,contig_52280
contig_52280_13,contig_52280
contig_52280_20,contig_52280
contig_32004_54,contig_32004
contig_32004_56,contig_32004
contig_32004_60,contig_32004
contig_32004_62,contig_32004
contig_32004_64,contig_32004
contig_32004_65,contig_32004
contig_32004_68,contig_32004
contig_32004_69,contig_32004
contig_32004_70,contig_32004
contig_32004_71,contig_32004
contig_32004_72,contig_32004
contig_32004_73,contig_32004
contig_32004_75,contig_32004
contig_32004_76,contig_32004
contig_32004_79,contig_32004
contig_32004_80,contig_32004
contig_32004_81,contig_32004
contig_32004_84,contig_32004
contig_32004_85,contig_32004
contig_32004_88,contig_32004
contig_32004_89,contig_32004
contig_32004_90,contig_32004
contig_42558_2,contig_42558
contig_42558_3,contig_42558
contig_42558_10,contig_42558
contig_42558_22,contig_42558
contig_4750_19,contig_4750
contig_42269_3,contig_42269
contig_57347_17,contig_57347
contig_56347_6,contig_56347
contig_56347_22,contig_56347
contig_6074_69,contig_6074
contig_6074_71,contig_6074
contig_6074_73,contig_6074
contig_6074_77,contig_6074
contig_6074_78,contig_6074
contig_616_7,contig_616
contig_616_8,contig_616
contig_616_11,contig_616
contig_616_12,contig_616
contig_616_13,contig_616
contig_616_14,contig_616
contig_616_15,contig_616
contig_24045_11,contig_24045
contig_37595_40,contig_37595
contig_37595_48,contig_37595
contig_2162_4,contig_2162
contig_40874_26,contig_40874
contig_8949_7,contig_8949
contig_8949_56,contig_8949
contig_8949_67,contig_8949
contig_8949_109,contig_8949
contig_8949_110,contig_8949
contig_8949_124,contig_8949
contig_57128_7,contig_57128
contig_57128_8,contig_57128
contig_57128_13,contig_57128
contig_57128_14,contig_57128
contig_57128_15,contig_57128
contig_57128_16,contig_57128
contig_57128_17,contig_57128
contig_55661_11,contig_55661
contig_55661_12,contig_55661
contig_23883_14,contig_23883
contig_23883_16,contig_23883
contig_29993_2,contig_29993
contig_8967_9,contig_8967
contig_20528_25,contig_20528
contig_20528_27,contig_20528
contig_11967_11,contig_11967
contig_57127_6,contig_57127
contig_57127_7,contig_57127
contig_57127_10,contig_57127
contig_57127_11,contig_57127
contig_57127_13,contig_57127
contig_57127_14,contig_57127
contig_57127_15,contig_57127
contig_57127_16,contig_57127
contig_57127_18,contig_57127
contig_57127_19,contig_57127
contig_57127_20,contig_57127
contig_57127_22,contig_57127
contig_57127_23,contig_57127
contig_57127_24,contig_57127
contig_57127_26,contig_57127
contig_57127_27,contig_57127
contig_57127_31,contig_57127
contig_57127_39,contig_57127
contig_33655_14,contig_33655
contig_21271_6,contig_21271
contig_21271_7,contig_21271
contig_21271_8,contig_21271
contig_21271_9,contig_21271
contig_11382_4,contig_11382
contig_10154_34,contig_10154
contig_10154_46,contig_10154
contig_39176_9,contig_39176
contig_24525_20,contig_24525
contig_45760_4,contig_45760
contig_45760_18,contig_45760
contig_19013_23,contig_19013
contig_19013_26,contig_19013
contig_19013_36,contig_19013
contig_19013_38,contig_19013
contig_28437_6,contig_28437
contig_28437_9,contig_28437
contig_28437_15,contig_28437
contig_28437_37,contig_28437
contig_28437_41,contig_28437
contig_28437_49,contig_28437
contig_58522_21,contig_58522
contig_31395_13,contig_31395
contig_31395_14,contig_31395
contig_31395_15,contig_31395
contig_31395_26,contig_31395
contig_31395_44,contig_31395
contig_31395_47,contig_31395
contig_31395_49,contig_31395
contig_31395_50,contig_31395
contig_31395_51,contig_31395
contig_31395_53,contig_31395
contig_31395_56,contig_31395
contig_31395_57,contig_31395
contig_31395_60,contig_31395
contig_31395_63,contig_31395
contig_31395_64,contig_31395
contig_31395_65,contig_31395
contig_31395_66,contig_31395
contig_31395_74,contig_31395
contig_31395_76,contig_31395
contig_31395_77,contig_31395
contig_31395_82,contig_31395
contig_31395_91,contig_31395
contig_31395_92,contig_31395
contig_31395_94,contig_31395
contig_59723_5,contig_59723
contig_59723_13,contig_59723
contig_28351_34,contig_28351
contig_28351_35,contig_28351
contig_28351_36,contig_28351
contig_28351_37,contig_28351
contig_28351_40,contig_28351
contig_28351_41,contig_28351
contig_28351_42,contig_28351
contig_28351_43,contig_28351
contig_28351_45,contig_28351
contig_28351_46,contig_28351
contig_28351_47,contig_28351
contig_28351_53,contig_28351
contig_28351_55,contig_28351
contig_28351_57,contig_28351
contig_28351_61,contig_28351
contig_28351_67,contig_28351
contig_28351_80,contig_28351
contig_28351_91,contig_28351
contig_28351_92,contig_28351
contig_28351_93,contig_28351
contig_17107_15,contig_17107
contig_17107_58,contig_17107
contig_17107_59,contig_17107
contig_17107_68,contig_17107
contig_17107_70,contig_17107
contig_17107_71,contig_17107
contig_17107_72,contig_17107
contig_17107_73,contig_17107
contig_17107_74,contig_17107
contig_17107_75,contig_17107
contig_17107_78,contig_17107
contig_17107_87,contig_17107
contig_17107_92,contig_17107
contig_29625_8,contig_29625
contig_29625_16,contig_29625
contig_42331_56,contig_42331
contig_42331_57,contig_42331
contig_42331_59,contig_42331
contig_42331_84,contig_42331
contig_42331_88,contig_42331
contig_33195_3,contig_33195
contig_33195_4,contig_33195
contig_33195_5,contig_33195
contig_33195_6,contig_33195
contig_33195_7,contig_33195
contig_33195_8,contig_33195
contig_33195_12,contig_33195
contig_47068_11,contig_47068
contig_47068_13,contig_47068
contig_47068_20,contig_47068
contig_47068_21,contig_47068
contig_47068_22,contig_47068
contig_22495_9,contig_22495
contig_22495_14,contig_22495
contig_22495_15,contig_22495
contig_53930_6,contig_53930
contig_46438_16,contig_46438
contig_4370_2,contig_4370
contig_4370_3,contig_4370
contig_47192_6,contig_47192
contig_47192_11,contig_47192
contig_47192_12,contig_47192
contig_47192_13,contig_47192
contig_18391_8,contig_18391
contig_18391_12,contig_18391
contig_18391_13,contig_18391
contig_18391_19,contig_18391
contig_18391_20,contig_18391
contig_18391_22,contig_18391
contig_18391_23,contig_18391
contig_18391_25,contig_18391
contig_18391_26,contig_18391
contig_18391_28,contig_18391
contig_18391_31,contig_18391
contig_18391_42,contig_18391
contig_18391_44,contig_18391
contig_3370_45,contig_3370
contig_58557_2,contig_58557
contig_58557_5,contig_58557
contig_58557_7,contig_58557
contig_58557_9,contig_58557
contig_58557_14,contig_58557
contig_58557_17,contig_58557
contig_10167_21,contig_10167
contig_10167_25,contig_10167
contig_10167_40,contig_10167
contig_10167_41,contig_10167
contig_10167_42,contig_10167
contig_10167_50,contig_10167
contig_10167_51,contig_10167
contig_10167_53,contig_10167
contig_10167_55,contig_10167
contig_10167_57,contig_10167
contig_10167_64,contig_10167
contig_10167_66,contig_10167
contig_10167_70,contig_10167
contig_10167_79,contig_10167
contig_10167_88,contig_10167
contig_10167_134,contig_10167
contig_10167_136,contig_10167
contig_1291_34,contig_1291
contig_1291_35,contig_1291
contig_1291_38,contig_1291
contig_1291_51,contig_1291
contig_1291_56,contig_1291
contig_1291_57,contig_1291
contig_1291_65,contig_1291
contig_1291_77,contig_1291
contig_1291_85,contig_1291
contig_1291_86,contig_1291
contig_1291_88,contig_1291
contig_1291_89,contig_1291
contig_1291_90,contig_1291
contig_1291_97,contig_1291
contig_1291_99,contig_1291
contig_1291_150,contig_1291
contig_1291_153,contig_1291
contig_1291_155,contig_1291
contig_1291_156,contig_1291
contig_1291_157,contig_1291
contig_1291_159,contig_1291
contig_1291_167,contig_1291
contig_1291_173,contig_1291
contig_1291_175,contig_1291
contig_1291_178,contig_1291
contig_1291_180,contig_1291
contig_1291_186,contig_1291
contig_4951_11,contig_4951
contig_4951_17,contig_4951
contig_4951_20,contig_4951
contig_4951_21,contig_4951
contig_4951_22,contig_4951
contig_4951_23,contig_4951
contig_4951_25,contig_4951
contig_4951_26,contig_4951
contig_4951_28,contig_4951
contig_4951_29,contig_4951
contig_4951_30,contig_4951
contig_4951_31,contig_4951
contig_4951_33,contig_4951
contig_4951_34,contig_4951
contig_4951_38,contig_4951
contig_4951_40,contig_4951
contig_58931_7,contig_58931
contig_58931_12,contig_58931
contig_58931_14,contig_58931
contig_58931_20,contig_58931
contig_58931_21,contig_58931
contig_58931_24,contig_58931
contig_58931_25,contig_58931
contig_58931_31,contig_58931
contig_2057_9,contig_2057
contig_4371_1,contig_4371
contig_4371_7,contig_4371
contig_4371_8,contig_4371
contig_4371_10,contig_4371
contig_4371_11,contig_4371
contig_4371_15,contig_4371
contig_4371_20,contig_4371
contig_4371_48,contig_4371
contig_4371_52,contig_4371
contig_41192_3,contig_41192
contig_41192_5,contig_41192
contig_41192_6,contig_41192
contig_41192_7,contig_41192
contig_41192_8,contig_41192
contig_41192_10,contig_41192
contig_41192_11,contig_41192
contig_41192_12,contig_41192
contig_19664_6,contig_19664
contig_19664_41,contig_19664
contig_19664_47,contig_19664
contig_39343_2,contig_39343
contig_39343_3,contig_39343
contig_39343_4,contig_39343
contig_39343_6,contig_39343
contig_39343_7,contig_39343
contig_39343_8,contig_39343
contig_39343_10,contig_39343
contig_39343_11,contig_39343
contig_39343_12,contig_39343
contig_39343_13,contig_39343
contig_39343_14,contig_39343
contig_39343_15,contig_39343
contig_39343_16,contig_39343
contig_39343_18,contig_39343
contig_39343_19,contig_39343
contig_39343_20,contig_39343
contig_8756_40,contig_8756
contig_8756_71,contig_8756
contig_8756_80,contig_8756
contig_8756_84,contig_8756
contig_33429_13,contig_33429
contig_33429_30,contig_33429
contig_33429_33,contig_33429
contig_33429_34,contig_33429
contig_33429_36,contig_33429
contig_33429_38,contig_33429
contig_33429_39,contig_33429
contig_33429_40,contig_33429
contig_33429_42,contig_33429
contig_8492_22,contig_8492
contig_8492_23,contig_8492
contig_8492_24,contig_8492
contig_8492_25,contig_8492
contig_8492_26,contig_8492
contig_8492_31,contig_8492
contig_8492_34,contig_8492
contig_2417_18,contig_2417
contig_2417_50,contig_2417
contig_2417_51,contig_2417
contig_2417_54,contig_2417
contig_2417_56,contig_2417
contig_2417_57,contig_2417
contig_2417_58,contig_2417
contig_2417_59,contig_2417
contig_2417_81,contig_2417
contig_2417_82,contig_2417
contig_47044_3,contig_47044
contig_47044_4,contig_47044
contig_47044_5,contig_47044
contig_47044_6,contig_47044
contig_47044_8,contig_47044
contig_47044_9,contig_47044
contig_47044_11,contig_47044
contig_47044_22,contig_47044
contig_47044_23,contig_47044
contig_47044_35,contig_47044
contig_47044_37,contig_47044
contig_47044_38,contig_47044
contig_47044_44,contig_47044
contig_47044_46,contig_47044
contig_47044_51,contig_47044
contig_47044_59,contig_47044
contig_47044_61,contig_47044
contig_47044_64,contig_47044
contig_27257_3,contig_27257
contig_27257_9,contig_27257
contig_27257_11,contig_27257
contig_27257_17,contig_27257
contig_31648_21,contig_31648
contig_31648_25,contig_31648
contig_31648_35,contig_31648
contig_43005_3,contig_43005
contig_43005_4,contig_43005
contig_43005_9,contig_43005
contig_50620_1,contig_50620
contig_50620_2,contig_50620
contig_50620_3,contig_50620
contig_50620_4,contig_50620
contig_50620_5,contig_50620
contig_50620_6,contig_50620
contig_50620_8,contig_50620
contig_50620_9,contig_50620
contig_50620_15,contig_50620
contig_50620_16,contig_50620
contig_50620_26,contig_50620
contig_50620_28,contig_50620
contig_43699_27,contig_43699
contig_43699_28,contig_43699
contig_43699_33,contig_43699
contig_43699_35,contig_43699
contig_42095_4,contig_42095
contig_42095_29,contig_42095
contig_39521_8,contig_39521
contig_39521_9,contig_39521
contig_39521_11,contig_39521
contig_39521_13,contig_39521
contig_39521_14,contig_39521
contig_39521_15,contig_39521
contig_39521_23,contig_39521
contig_32590_17,contig_32590
contig_32590_31,contig_32590
contig_1539_15,contig_1539
contig_1539_16,contig_1539
contig_1539_28,contig_1539
contig_29013_19,contig_29013
contig_29013_71,contig_29013
contig_29013_72,contig_29013
contig_29013_73,contig_29013
contig_29013_74,contig_29013
contig_29013_75,contig_29013
contig_29013_76,contig_29013
contig_29013_77,contig_29013
contig_29013_79,contig_29013
contig_29013_81,contig_29013
contig_29013_82,contig_29013
contig_21963_19,contig_21963
contig_21963_20,contig_21963
contig_21963_24,contig_21963
contig_21963_31,contig_21963
contig_5709_35,contig_5709
contig_5709_36,contig_5709
contig_5709_40,contig_5709
contig_5709_41,contig_5709
contig_5709_43,contig_5709
contig_5709_50,contig_5709
contig_5709_54,contig_5709
contig_5709_55,contig_5709
contig_5709_56,contig_5709
contig_5709_70,contig_5709
contig_44249_12,contig_44249
contig_44249_17,contig_44249
contig_44249_20,contig_44249
contig_44249_23,contig_44249
contig_44249_24,contig_44249
contig_25815_1,contig_25815
contig_25815_17,contig_25815
contig_25815_19,contig_25815
contig_25815_24,contig_25815
contig_25815_32,contig_25815
contig_21270_2,contig_21270
contig_4729_76,contig_4729
contig_4729_78,contig_4729
contig_4729_79,contig_4729
contig_4729_83,contig_4729
contig_4729_84,contig_4729
contig_4729_88,contig_4729
contig_4729_92,contig_4729
contig_4729_99,contig_4729
contig_311_37,contig_311
contig_29633_2,contig_29633
contig_55577_19,contig_55577
contig_14407_9,contig_14407
contig_40164_5,contig_40164
contig_54417_2,contig_54417
contig_44499_21,contig_44499
contig_44499_26,contig_44499
contig_40669_14,contig_40669
contig_42120_10,contig_42120
contig_37764_15,contig_37764
contig_37764_16,contig_37764
contig_37764_21,contig_37764
contig_7305_6,contig_7305
contig_43238_10,contig_43238
contig_43238_13,contig_43238
contig_35881_2,contig_35881
contig_35881_5,contig_35881
contig_10489_1,contig_10489
contig_10489_5,contig_10489
contig_31998_28,contig_31998
contig_31998_47,contig_31998
contig_31998_48,contig_31998
contig_44829_19,contig_44829
contig_949_50,contig_949
contig_949_51,contig_949
contig_949_53,contig_949
contig_949_56,contig_949
contig_949_112,contig_949
contig_949_113,contig_949
contig_949_114,contig_949
